Country,Population (2020),% of Education Budget,% of Literacy,% of children that never attend school,% of poverty
USA,331002651,4.9,99,5,9
Sweden,10161569,7.6,99,4,17
Switzerland,8654622,5.1,99,7,16
Finland,5540720,6.3,100,1.7,12
Japan,126476461,3.1,99,1.5,15
Denmark,5792202,7.8,99,1.2,12
